Selection,View,channel,begin_time,end_time,Low Freq (Hz),High Freq (Hz),Delta Time (s),Delta Freq (Hz),Avg Power Density (dB FS/Hz),Agg Entropy (bits),Center Freq (Hz),PFC Max Freq (Hz),PFC Min Freq (Hz),Max Freq (Hz),Annotation,filename,StartMicInWater,EndMicInWater,filepath,label,call_length,split_type
5,Spectrogram 1,1,117.33191371,174.09009080099997,3453.237,4489.209,0.1899,1035.972,-59.22,2.04,3937.5,4312.5,3562.5,3937.5,N,211208_0069,33.585392096,275.207694128,annotations,0,56.75817709099997,test
6,Spectrogram 1,1,174.27997028099998,195.949767967,3230.769,4057.554,0.1688,826.785,-49.17,1.426,3750.0,3937.5,3562.5,3750.0,Y,211208_0069,33.585392096,275.207694128,annotations,0,21.669797686000038,test
7,Spectrogram 1,1,196.11852171099997,275.05328239,4575.54,5956.835,0.1544,1381.295,-57.84,2.537,5250.0,5812.5,4687.5,4687.5,,211208_0069,33.585392096,275.207694128,annotations,0,78.93476067900002,test
2,Spectrogram 1,1,36.382783771,43.854748612,7230.769,7986.555,0.2617,755.7860000000002,-37.55,1.525,7687.5,7875.0,7312.5,7687.5,No,211208_0070,36.157165703000004,55.106172186,annotations,0,7.471964841000003,test
3,Spectrogram 1,1,44.116426531,54.0788042,5001.681,6292.437,0.1652,1290.756,-55.69,1.917,5625.0,5812.5,5437.5,5625.0,Yes,211208_0070,36.157165703000004,55.106172186,annotations,0,9.962377669,test
4,Spectrogram 1,1,54.243988857,54.86166711600001,7230.769,8000.0,0.2445,769.2310000000001,-46.81,1.569,7875.0,7875.0,7312.5,7875.0,No,211208_0070,36.157165703000004,55.106172186,annotations,0,0.6176782590000087,test
2,Spectrogram 1,1,43.644584713,55.91182290800001,2230.769,3798.561,0.2493,1567.792,-36.31,2.777,3000.0,3562.5,2250.0,2437.5,Y,211208_0072,43.392289247,321.339491755,annotations,0,12.267238195000004,test
3,Spectrogram 1,1,56.16115779800001,62.834913716,2503.597,4143.885,0.2862,1640.2879999999998,-42.4,2.4530000000000003,3562.5,4125.0,2625.0,3375.0,Y,211208_0072,43.392289247,321.339491755,annotations,0,6.673755917999997,test
4,Spectrogram 1,1,63.121110308,70.605859359,2848.921,3884.892,0.2426,1035.971,-32.93,1.369,3187.5,3750.0,3187.5,3187.5,Y,211208_0072,43.392289247,321.339491755,annotations,0,7.484749050999994,test
5,Spectrogram 1,1,70.848414023,84.101191812,2244.604,3884.892,0.1943,1640.2879999999998,-42.35,2.935,3187.5,3750.0,2250.0,3562.5,N,211208_0072,43.392289247,321.339491755,annotations,0,13.25277778899999,test
6,Spectrogram 1,1,84.295522831,92.568004335,2244.604,4057.554,0.3215,1812.95,-39.88,2.471,3000.0,3937.5,2250.0,2812.5,Y,211208_0072,43.392289247,321.339491755,annotations,0,8.272481503999998,test
7,Spectrogram 1,1,92.889533839,100.204444722,2762.59,4316.547000000001,0.3251,1553.957,-39.18,1.932,3562.5,4312.5,3187.5,3562.5,Y,211208_0072,43.392289247,321.339491755,annotations,0,7.31491088300001,test
8,Spectrogram 1,1,100.52950751799999,103.95428067200001,3076.923,4230.2159999999985,0.3676,1153.293,-39.49,1.679,3750.0,4125.0,3562.5,3562.5,Y,211208_0072,43.392289247,321.339491755,annotations,0,3.4247731540000217,test
9,Spectrogram 1,1,104.32192766700001,110.19032556,3230.769,4143.885,0.3427,913.116,-45.52,1.826,3562.5,4125.0,3375.0,3562.5,Y,211208_0072,43.392289247,321.339491755,annotations,0,5.868397892999994,test
10,Spectrogram 1,1,110.533054812,118.101368875,3712.23,5093.525,0.1343,1381.295,-60.29,2.612,4312.5,4687.5,3750.0,4500.0,N,211208_0072,43.392289247,321.339491755,annotations,0,7.568314063000002,test
11,Spectrogram 1,1,118.235633942,125.884305122,2676.259,3884.892,0.2579,1208.633,-56.25,1.977,3562.5,3750.0,2812.5,3562.5,N,211208_0072,43.392289247,321.339491755,annotations,0,7.648671179999994,test
12,Spectrogram 1,1,126.142235383,133.19510426899998,2676.259,4143.885,0.2509,1467.626,-50.81,2.028,3562.5,3750.0,2812.5,3375.0,Y,211208_0072,43.392289247,321.339491755,annotations,0,7.0528688859999855,test
13,Spectrogram 1,1,133.445967948,150.482750103,2330.935,3884.892,0.2279,1553.957,-40.24,2.191,3375.0,3750.0,2812.5,3187.5,Y,211208_0072,43.392289247,321.339491755,annotations,0,17.036782154999994,test
14,Spectrogram 1,1,150.710691239,214.39964859900002,2417.266,4057.554,0.2477,1640.2879999999998,-39.45,1.695,3187.5,3937.5,2437.5,3187.5,Y,211208_0072,43.392289247,321.339491755,annotations,0,63.68895736000002,test
15,Spectrogram 1,1,214.64731152099998,233.908892348,2244.604,3798.561,0.265,1553.957,-50.66,2.216,3375.0,3562.5,2250.0,3187.5,Y,211208_0072,43.392289247,321.339491755,annotations,0,19.261580827000014,test
16,Spectrogram 1,1,234.173935368,290.733486112,3021.583,4402.878,0.2478,1381.295,-41.17,1.879,3750.0,4312.5,3375.0,3750.0,Y,211208_0072,43.392289247,321.339491755,annotations,0,56.55955074399998,test
17,Spectrogram 1,1,290.981292212,293.755019375,3538.462,4153.846,0.2721,615.384,-50.27,1.842,3750.0,4125.0,3562.5,3562.5,Y,211208_0072,43.392289247,321.339491755,annotations,0,2.7737271629999896,test
18,Spectrogram 1,1,294.027078151,300.790861113,2935.252,4143.885,0.1691,1208.633,-46.32,2.457,3562.5,4125.0,3000.0,3562.5,Y,211208_0072,43.392289247,321.339491755,annotations,0,6.7637829619999925,test
19,Spectrogram 1,1,300.95997873,301.020284863,2589.928,3884.892,0.0671,1294.964,-57.66,2.021,3375.0,3562.5,3187.5,3375.0,,211208_0072,43.392289247,321.339491755,annotations,0,0.06030613299998323,test
20,Spectrogram 1,1,301.087417397,306.040860201,2935.252,4153.846,0.2206,1218.594,-41.48,1.82,3562.5,3937.5,3187.5,3562.5,Y,211208_0072,43.392289247,321.339491755,annotations,0,4.9534428039999625,test
21,Spectrogram 1,1,306.26144839799997,314.36294270900004,2417.266,3971.223,0.3237,1553.957,-36.19,2.263,3000.0,3937.5,2812.5,3000.0,Y,211208_0072,43.392289247,321.339491755,annotations,0,8.101494311000067,test
22,Spectrogram 1,1,314.68666607,321.113361115,2503.597,3971.223,0.2261,1467.626,-45.64,2.327,3562.5,3937.5,2625.0,3937.5,Y,211208_0072,43.392289247,321.339491755,annotations,0,6.426695044999974,test
2,Spectrogram 1,1,16.7154737,17.081879604,2923.077,4316.547000000001,0.3431,1393.47,-41.28,1.981,3562.5,3937.5,3000.0,3562.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,0.3664059040000005,test
3,Spectrogram 1,1,17.425023334000002,21.287761227,3076.923,4143.885,0.3136,1066.962,-54.71,2.123,3750.0,4125.0,3187.5,3562.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,3.8627378929999994,test
4,Spectrogram 1,1,21.601320326,24.154267853,4316.547000000001,5525.18,0.2059,1208.633,-45.4,2.329,4875.0,5437.5,4687.5,5250.0,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,2.5529475270000006,test
5,Spectrogram 1,1,24.36015017,26.889561496,3021.583,4316.547000000001,0.2949,1294.964,-61.21,2.484,3750.0,4312.5,3375.0,3562.5,N,211208_0074,16.515703232,609.9851867369999,annotations,0,2.529411325999998,test
6,Spectrogram 1,1,27.18445364,31.483288694000002,3230.769,4000.0,0.2868,769.2310000000001,-56.94,1.7380000000000002,3750.0,3937.5,3375.0,3562.5,N,211208_0074,16.515703232,609.9851867369999,annotations,0,4.298835054000001,test
7,Spectrogram 1,1,31.77005335,35.747031418,3230.769,3692.308,0.375,461.539,-43.71,0.957,3562.5,3562.5,3375.0,3375.0,N,211208_0074,16.515703232,609.9851867369999,annotations,0,3.9769780679999975,test
8,Spectrogram 1,1,36.122031353000004,46.675892299999994,3230.769,3846.1540000000014,0.3015,615.385,-33.59,1.525,3562.5,3750.0,3375.0,3562.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,10.553860946999995,test
9,Spectrogram 1,1,46.977362836000005,70.703540052,3230.769,3692.308,0.2574,461.539,-26.21,0.935,3562.5,3562.5,3375.0,3562.5,N,211208_0074,16.515703232,609.9851867369999,annotations,0,23.72617721599999,test
10,Spectrogram 1,1,70.96089294800001,71.644716359,4923.077,5538.462,0.2206,615.385,-49.91,1.4240000000000002,5250.0,5437.5,5062.5,5062.5,N,211208_0074,16.515703232,609.9851867369999,annotations,0,0.6838234109999917,test
11,Spectrogram 1,1,71.865304556,76.693191751,3384.615,4000.0,0.3382,615.385,-30.23,1.196,3562.5,3937.5,3562.5,3562.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,4.8278871950000015,test
12,Spectrogram 1,1,77.031426987,83.726482725,3076.923,3692.308,0.2721,615.385,-46.76,1.21,3562.5,3562.5,3187.5,3562.5,N,211208_0074,16.515703232,609.9851867369999,annotations,0,6.6950557379999935,test
13,Spectrogram 1,1,83.998541501,85.439717722,4923.077,5538.462,0.1765,615.385,-44.4,1.534,5250.0,5437.5,5062.5,5062.5,N,211208_0074,16.515703232,609.9851867369999,annotations,0,1.4411762209999919,test
14,Spectrogram 1,1,85.616188279,88.543607881,3076.923,3884.892,0.3676,807.9689999999998,-57.75,1.742,3562.5,3750.0,3187.5,3562.5,N,211208_0074,16.515703232,609.9851867369999,annotations,0,2.9274196020000005,test
15,Spectrogram 1,1,88.911254876,95.694065691,3076.923,4000.0,0.2353,923.077,-55.75,2.082,3562.5,3937.5,3375.0,3937.5,N,211208_0074,16.515703232,609.9851867369999,annotations,0,6.782810815000005,test
16,Spectrogram 1,1,95.92935976700001,105.571983999,3230.769,3846.1540000000014,0.2279,615.385,-58.78,1.4780000000000002,3562.5,3750.0,3375.0,3562.5,N,211208_0074,16.515703232,609.9851867369999,annotations,0,9.642624231999989,test
17,Spectrogram 1,1,105.799925136,114.235589695,3076.923,3692.308,0.2574,615.385,-54.77,0.894,3562.5,3562.5,3187.5,3562.5,N,211208_0074,16.515703232,609.9851867369999,annotations,0,8.435664559000003,test
18,Spectrogram 1,1,114.492942592,115.051766024,3884.892,5611.511,0.2279,1726.619,-39.3,2.869,4875.0,5437.5,4125.0,4312.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,0.5588234319999971,test
19,Spectrogram 1,1,115.279707161,121.647596171,2923.077,3971.223,0.2721,1048.146,-55.58,2.222,3750.0,3937.5,3000.0,3937.5,N,211208_0074,16.515703232,609.9851867369999,annotations,0,6.367889009999999,test
20,Spectrogram 1,1,121.91965494700001,133.975176665,6769.231,7510.791,0.1544,741.56,-48.58,1.57,7125.0,7312.5,6937.5,7125.0,N,211208_0074,16.515703232,609.9851867369999,annotations,0,12.05552171799998,test
21,Spectrogram 1,1,134.12958840299999,139.206121525,3884.892,5538.462,0.2176,1653.57,-51.79,2.479,5250.0,5437.5,3937.5,5250.0,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,5.076533122000001,test
22,Spectrogram 1,1,139.423705131,140.097362823,2923.077,3971.223,0.298,1048.146,-50.91,1.49,3562.5,3750.0,3375.0,3562.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,0.6736576920000061,test
23,Spectrogram 1,1,140.39536668600002,142.657972858,4057.554,5692.308000000001,0.2059,1634.754,-43.02,2.611,5250.0,5437.5,4500.0,5250.0,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,2.262606171999977,test
24,Spectrogram 1,1,142.863855175,147.262881725,4461.538,5076.923,0.1985,615.385,-37.59,1.904,4687.5,5062.5,4500.0,5062.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,4.399026550000002,test
25,Spectrogram 1,1,147.461411103,148.078539707,3076.923,3884.892,0.2818,807.9689999999998,-48.94,1.6469999999999998,3375.0,3750.0,3375.0,3375.0,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,0.6171286040000155,test
26,Spectrogram 1,1,148.360330936,177.22042552099998,3539.568,5525.18,0.2279,1985.612,-39.06,2.8080000000000003,4687.5,5437.5,3562.5,4687.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,28.860094584999985,test
27,Spectrogram 1,1,177.448366658,189.93524601400003,3076.923,4057.554,0.2299,980.631,-32.13,1.612,3562.5,3937.5,3187.5,3562.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,12.486879356000033,test
28,Spectrogram 1,1,190.165100121,191.10950069,4307.692,5525.18,0.2251,1217.488,-37.39,2.105,5062.5,5250.0,4312.5,5250.0,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,0.9444005690000096,test
29,Spectrogram 1,1,191.334588745,195.31252923099998,3076.923,3798.561,0.3088,721.638,-31.7,1.695,3375.0,3562.5,3187.5,3375.0,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,3.9779404859999934,test
30,Spectrogram 1,1,195.621352707,204.97989806,2158.273,3884.892,0.2431,1726.619,-44.21,2.548,3375.0,3750.0,2250.0,3750.0,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,9.358545353000011,test
31,Spectrogram 1,1,205.22303502,205.891662608,4769.231,5870.504,0.1691,1101.273,-40.85,1.982,5062.5,5437.5,4875.0,5062.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,0.6686275879999926,test
32,Spectrogram 1,1,206.060780225,209.603550189,2923.077,4057.554,0.2574,1134.477,-44.47,2.34,3562.5,3937.5,3000.0,3562.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,3.542769964000001,test
33,Spectrogram 1,1,209.860903085,214.897666917,3230.769,4153.846,0.2574,923.077,-52.47,2.01,3562.5,4125.0,3375.0,3562.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,5.03676383200002,test
34,Spectrogram 1,1,215.155019813,218.00741436599998,4307.692,4923.077,0.1397,615.385,-38.71,1.631,4500.0,4875.0,4312.5,4312.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,2.8523945529999817,test
35,Spectrogram 1,1,218.14712022400002,218.661826017,3230.769,4057.554,0.287,826.785,-51.52,1.676,3750.0,3750.0,3375.0,3562.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,0.5147057929999903,test
36,Spectrogram 1,1,218.948853666,223.541332056,3230.769,4143.885,0.3148,913.116,-46.83,1.631,3750.0,4125.0,3375.0,3562.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,4.592478389999997,test
37,Spectrogram 1,1,223.856132246,224.479251171,4307.692,4923.077,0.1544,615.385,-41.8,1.617,4687.5,4875.0,4312.5,4875.0,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,0.623118925,test
38,Spectrogram 1,1,224.633662909,229.763798501,3076.923,3971.223,0.2721,894.3,-47.43,1.846,3562.5,3750.0,3187.5,3562.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,5.130135591999989,test
39,Spectrogram 1,1,230.03585727700002,234.06526834299999,4307.692,4923.077,0.1765,615.385,-42.88,1.421,4875.0,4875.0,4312.5,4875.0,N,211208_0074,16.515703232,609.9851867369999,annotations,0,4.029411065999966,test
40,Spectrogram 1,1,234.2417389,234.96967995,6923.076999999998,8000.0,0.2794,1076.923,-37.23,1.405,7500.0,7500.0,6937.5,7500.0,N,211208_0074,16.515703232,609.9851867369999,annotations,0,0.7279410499999983,test
41,Spectrogram 1,1,235.249091666,239.731208141,4461.538,5076.923,0.0956,615.385,-24.5,0.968,4500.0,4500.0,4500.0,4500.0,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,4.482116474999998,test
42,Spectrogram 1,1,239.826796359,240.56944328900002,3076.923,4057.554,0.2868,980.631,-43.74,1.955,3750.0,3937.5,3187.5,3750.0,N,211208_0074,16.515703232,609.9851867369999,annotations,0,0.7426469300000065,test
43,Spectrogram 1,1,240.856207945,269.360903172,3230.769,4153.846,0.2279,923.077,-51.2,1.621,3562.5,4125.0,3375.0,3562.5,N,211208_0074,16.515703232,609.9851867369999,annotations,0,28.504695227000013,test
44,Spectrogram 1,1,269.588844309,272.978549603,3538.462,4307.692,0.2574,769.23,-54.1,1.612,3750.0,4125.0,3562.5,3562.5,N,211208_0074,16.515703232,609.9851867369999,annotations,0,3.389705293999953,test
45,Spectrogram 1,1,273.235902499,276.15501964,3230.769,4230.2159999999985,0.3052,999.447,-47.77,1.798,3562.5,4125.0,3375.0,3562.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,2.9191171409999583,test
46,Spectrogram 1,1,276.460190046,277.67441935,3884.892,5538.462,0.1699,1653.57,-37.43,2.95,4312.5,5437.5,3937.5,4500.0,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,1.2142293040000143,test
47,Spectrogram 1,1,277.844334571,279.057569655,3230.769,4000.0,0.25,769.2310000000001,-45.76,1.5530000000000002,3562.5,3937.5,3375.0,3562.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,1.2132350840000186,test
48,Spectrogram 1,1,279.307569612,284.00609820799997,2417.266,3884.892,0.2652,1467.626,-29.29,2.199,3562.5,3562.5,2625.0,3187.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,4.69852859599996,test
49,Spectrogram 1,1,284.27129398700004,284.99843957,3453.237,5076.923,0.1618,1623.686,-42.46,2.383,4125.0,5062.5,3562.5,4125.0,N,211208_0074,16.515703232,609.9851867369999,annotations,0,0.7271455829999809,test
50,Spectrogram 1,1,285.160204248,289.255198813,3798.561,5538.462,0.2231,1739.901,-42.6,2.6660000000000004,4687.5,5437.5,3937.5,4312.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,4.094994564999978,test
51,Spectrogram 1,1,289.478348459,291.000407018,2762.59,4402.878,0.2885,1640.2879999999998,-39.11,1.755,3562.5,3937.5,3000.0,3562.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,1.522058558999959,test
52,Spectrogram 1,1,291.28890797599996,297.956007977,3107.914,4230.2159999999985,0.3298,1122.302,-34.28,1.5119999999999998,3562.5,3937.5,3187.5,3562.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,6.66710000100005,test
53,Spectrogram 1,1,298.285798652,311.423265986,3230.769,3692.308,0.2132,461.539,-53.01,0.489,3562.5,3562.5,3562.5,3562.5,N,211208_0074,16.515703232,609.9851867369999,annotations,0,13.137467334000009,test
54,Spectrogram 1,1,311.636501243,312.474736392,4769.231,5384.615,0.1765,615.384,-41.85,1.497,5062.5,5250.0,4875.0,5062.5,N,211208_0074,16.515703232,609.9851867369999,annotations,0,0.8382351490000133,test
55,Spectrogram 1,1,312.65120695,315.44826644200003,3076.923,3846.1540000000014,0.2353,769.2310000000001,-51.03,1.372,3562.5,3750.0,3375.0,3562.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,2.7970594920000167,test
56,Spectrogram 1,1,315.683560519,316.81591326299997,4307.692,5179.856,0.2441,872.164,-40.05,1.85,5062.5,5062.5,4312.5,5062.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,1.1323527439999452,test
57,Spectrogram 1,1,317.059965175,318.095324806,2923.077,3692.308,0.3088,769.2310000000001,-58.47,1.048,3562.5,3562.5,3000.0,3562.5,N,211208_0074,16.515703232,609.9851867369999,annotations,0,1.0353596310000055,test
58,Spectrogram 1,1,318.404148282,320.499736153,4153.846,4923.077,0.1838,769.2310000000001,-31.61,1.449,4500.0,4875.0,4312.5,4312.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,2.0955878710000206,test
59,Spectrogram 1,1,320.683559651,326.390964237,4307.692,4923.077,0.1618,615.385,-52.29,1.601,4500.0,4875.0,4312.5,4500.0,N,211208_0074,16.515703232,609.9851867369999,annotations,0,5.7074045859999964,test
60,Spectrogram 1,1,326.552728914,327.361552303,3076.923,3692.308,0.2059,615.385,-63.04,1.146,3562.5,3562.5,3187.5,3562.5,N,211208_0074,16.515703232,609.9851867369999,annotations,0,0.8088233889999971,test
61,Spectrogram 1,1,327.56743462099996,334.76519001400004,4153.846,4769.231,0.1397,615.385,-55.31,1.432,4500.0,4687.5,4312.5,4312.5,N,211208_0074,16.515703232,609.9851867369999,annotations,0,7.19775539300008,test
62,Spectrogram 1,1,334.904895872,335.485778125,6461.538000000001,7538.461999999998,0.3162,1076.924,-61.51,2.211,7312.5,7500.0,6562.5,7312.5,N,211208_0074,16.515703232,609.9851867369999,annotations,0,0.5808822530000269,test
63,Spectrogram 1,1,335.80195454,340.758547465,6923.076999999998,7538.461999999998,0.2574,615.385,-54.64,1.433,7312.5,7500.0,6937.5,7312.5,N,211208_0074,16.515703232,609.9851867369999,annotations,0,4.956592924999995,test
64,Spectrogram 1,1,341.015900361,342.529348923,4461.538,5384.615,0.1324,923.077,-41.45,1.56,4500.0,5250.0,4500.0,4500.0,N,211208_0074,16.515703232,609.9851867369999,annotations,0,1.5134485620000078,test
65,Spectrogram 1,1,342.66170184099997,345.088172008,3076.923,4153.846,0.2132,1076.923,-61.3,2.303,3562.5,4125.0,3187.5,3562.5,N,211208_0074,16.515703232,609.9851867369999,annotations,0,2.426470167000048,test
66,Spectrogram 1,1,345.301407265,353.9556261090001,3230.769,4000.0,0.2647,769.2310000000001,-53.48,1.592,3562.5,3937.5,3375.0,3562.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,8.654218844000013,test
67,Spectrogram 1,1,354.220331945,354.683567159,4153.846,4769.231,0.125,615.385,-54.09,1.341,4500.0,4687.5,4312.5,4500.0,N,211208_0074,16.515703232,609.9851867369999,annotations,0,0.46323521400000806,test
68,Spectrogram 1,1,354.80856713699995,383.322343629,3230.769,4000.0,0.2059,769.2310000000001,-34.37,1.419,3562.5,3937.5,3375.0,3562.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,28.513776492000037,test
69,Spectrogram 1,1,383.52822594599996,394.01805997599996,2769.231,3692.308,0.1912,923.077,-35.31,1.464,3375.0,3562.5,2812.5,3562.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,10.489834029999997,test
70,Spectrogram 1,1,394.20923641400003,406.285500704,3384.615,4153.846,0.3112,769.2310000000001,-39.98,1.031,3562.5,4125.0,3562.5,3562.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,12.076264289999983,test
71,Spectrogram 1,1,406.59670369199995,407.091215668,4615.385,5384.615,0.1912,769.23,-60.38,1.841,5062.5,5250.0,4687.5,5062.5,N,211208_0074,16.515703232,609.9851867369999,annotations,0,0.4945119760000694,test
72,Spectrogram 1,1,407.282392106,411.94480987800006,3538.462,4153.846,0.2647,615.384,-49.41,1.746,3750.0,3937.5,3562.5,3750.0,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,4.662417772000083,test
73,Spectrogram 1,1,412.209515715,413.046547508,3884.892,5870.504,0.1899,1985.612,-61.66,3.037,4875.0,5250.0,3937.5,5062.5,NON,211208_0074,16.515703232,609.9851867369999,annotations,0,0.8370317929999942,test
74,Spectrogram 1,1,413.236426988,414.27569182699995,3230.769,4153.846,0.3162,923.077,-53.66,1.945,3750.0,3937.5,3375.0,3562.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,1.0392648389999408,test
75,Spectrogram 1,1,414.591868242,416.75141410300006,4769.231,5076.923,0.1765,307.692,-56.83,0.997,4875.0,5062.5,4875.0,4875.0,N,211208_0074,16.515703232,609.9851867369999,annotations,0,2.1595458610000837,test
76,Spectrogram 1,1,416.927884661,417.972002126,3230.769,4000.0,0.2867,769.2310000000001,-52.04,1.68,3562.5,3937.5,3375.0,3562.5,N,211208_0074,16.515703232,609.9851867369999,annotations,0,1.0441174649999994,test
77,Spectrogram 1,1,418.25874865,421.464648579,4923.077,5538.462,0.1985,615.385,-55.25,1.173,5062.5,5437.5,5062.5,5062.5,N,211208_0074,16.515703232,609.9851867369999,annotations,0,3.2058999290000543,test
78,Spectrogram 1,1,421.66317795599997,432.29993937300003,3230.769,4153.846,0.3309,923.077,-44.67,1.634,3562.5,3937.5,3375.0,3562.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,10.63676141700006,test
79,Spectrogram 1,1,432.630821668,433.269869894,4057.554,5697.842,0.2065,1640.2879999999998,-50.9,2.595,5062.5,5437.5,4312.5,5250.0,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,0.6390482259999999,test
80,Spectrogram 1,1,433.47640975699994,438.42905582300006,3384.615,4153.846,0.25,769.2310000000001,-48.19,1.277,3562.5,3750.0,3562.5,3562.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,4.9526460660001135,test
81,Spectrogram 1,1,438.67905578,439.32356737699996,4615.385,5538.462,0.2049,923.077,-49.78,2.0580000000000003,4875.0,5250.0,4687.5,4875.0,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,0.6445115969999621,test
82,Spectrogram 1,1,439.528437341,444.234642918,3538.462,4615.385,0.3015,1076.923,-53.84,1.925,3937.5,4500.0,3562.5,3937.5,Y,211208_0074,16.515703232,609.9851867369999,annotations,0,4.7062055770000475,test
83,Spectrogram 1,1,444.53611345400003,445.734642657,4461.538,5230.769,0.2132,769.2310000000001,-56.65,1.847,4875.0,5062.5,4500.0,5062.5,N,211208_0074,16.515703232,609.9851867369999,annotations,0,1.198529202999964,test
